questions,answers
[Pesanan] Apa yang harus saya lakukan jika saya menerima paket yang tidak saya pesan?,"[Pesanan] Apa yang harus saya lakukan jika saya menerima paket yang tidak saya pesan?Jika Anda menerima pesanan yang tidak Anda pesan, silakan ikuti langkah-langkah berikut: Anda dapat memeriksa pada halaman riwayat pesanan dengan pilih Saya > pilih Lihat Riwayat Pesanan pada aplikasi Shopee, untuk memastikan apakah Penjual mengirimkan pesanan yang salah dan pastikan Anda tidak melakukan pemesanan pada akun Shopee Anda. Namun, apabila Anda telah membuat pesanan di akun Shopee tanpa sepengetahuan Anda, mungkin akun Anda telah di retas.Periksa kembali apakah anggota keluarga / teman Anda telah mengirimkannya sebagai hadiah, atau memesan barang tersebut atas nama Anda.Jika tidak ada satu pun dari hal di atas:Untuk paket dari jasa kirim selain SPX Express: Hubungi jasa kirim untuk memastikan apakah ada kesalahan pengiriman yang dilakukan kurir.Untuk paket dari jasa kirim SPX Express: Hubungi Customer Service Shopee untuk bantuan lebih lanjut.Untuk pesanan COD (Bayar di Tempat) apabila Anda belum melakukan pembayaran ke kurir, Anda bisa menolak pesanan tersebut saat kurir datang mengantar.Untuk pesanan COD (Bayar di Tempat) apabila Anda sudah melakukan pembayaran ke kurir, silakan menghubungi Customer Service Shopee untuk bantuan lebih lanjut.Jika Anda mencurigai bahwa paket tersebut berisi barang ilegal, Anda dapat melaporkannya kepada pihak berwajib/polisi sesegera mungkin. Anda berhak untuk membuang barang tersebut dan tidak perlu mengembalikan paket ke Shopee atau penjual jika disarankan oleh pihak berwajib/polisi. Untuk melindungi diri Anda lebih lanjut setelah menerima paket yang tidak Anda pesan, silakan ikuti langkah berikut:Ubah password akun Shopee Anda sebagai tindakan pencegahan.Pantau atau periksa kembali tagihan kartu kredit, laporan rekening bank, akun Shopee, dan akun ShopeePay Anda untuk setiap transaksi yang tidak sah.Jangan pernah membayar paket yang tidak Anda pesan.Hindari berbagi informasi pribadi seperti alamat rumah Anda dengan orang asing atau pihak yang tidak berkepentingan. Shopee mengambil sikap tegas terhadap kegiatan penipuan dan akan mengambil tindakan tegas terhadap setiap individu yang telah melanggar kebijakan Anti-Brushing. ⚠️CatatanOrder Brushing/pesanan palsu merupakan tindakan yang dibuat oleh Penjual yang membuat pesanan palsu untuk menghasilkan angka penjualan yang lebih tinggi. Paket dari pesanan palsu ini dapat dikirim ke pembeli yang tidak disadari.Apakah artikel ini berguna?YaTidakArtikel Terkait[Bayar di Tempat] Bagaimana jika mendapat pesanan COD yang tidak saya pesan?[Akun Saya] Bagaimana cara mengubah password akun Shopee?"
[Bayar di Tempat] Bagaimana jika mendapat pesanan COD yang tidak saya pesan?,"[Bayar di Tempat] Bagaimana jika mendapat pesanan COD yang tidak saya pesan?Berikut kendala yang mungkin Anda dapatkan pada pesanan dengan pembayaran COD: Tidak merasa memesanPastikan Anda tidak membuka terlebih dahulu paket yang diberikan, lalu lakukan pengecekan di bagian Pesanan Saya pada aplikasi Shopee di setiap akun yang Anda miliki, untuk memastikan Anda tidak melakukan pemesanan produk COD.Lakukan penolakan pembayaran pada kurir jika Anda tidak melakukan pesanan atas produk tersebut. Sudah menerima pesanan dan melakukan pembayaranJika terlanjur menerima pesanan dan membayar pesanan yang tidak Anda pesan, silakan menghubungi Customer Service Shopee dengan melampirkan:Nomor pesanan.Bukti foto resi di pesanan/paket yang Anda terima.Foto produk di dalam paket jika Anda sudah membuka paket tersebut. Silakan hubungi contact center kami pada link berikut ini. Kendala akan ditindaklanjuti oleh tim Shopee dalam kurun waktu 2x24 jam dan Anda akan dihubungi melalui email. Tidak sengaja memesanJika tidak sengaja memesan produk dengan metode pembayaran COD, silakan melakukan:Pengajuan pembatalan sebelum penjual mengirimkan pesanan.Menghubungi Penjual terkait pesanan melalui fitur Chat Penjual.Tidak membuka paket dan tolak pesanan apabila Penjual tetap mengirimkan pesanan. ⚠️Catatan:Sistem pembayaran COD akan diblokir pada akun Anda jika melakukan penolakan pembayaran atau tidak ada di tempat saat kurir mengirim paket sebanyak 2 kali dalam kurun waktu 60 hari.Apakah artikel ini berguna?YaTidakArtikel Terkait[Bayar di Tempat] Bagaimana jika pengiriman pesanan COD (Bayar di Tempat) gagal dilakukan?"
[Garansi Tepat Waktu] Apa itu Garansi Tepat Waktu?,"[Garansi Tepat Waktu] Apa itu Garansi Tepat Waktu?Garansi Tepat Waktu adalah program Shopee yang memberikan jaminan waktu pengiriman untuk pesanan yang memenuhi syarat dan memiliki Opsi Pengiriman dengan keterangan “Garansi Tiba” dan “Voucher Jika Pesanan Terlambat” pada halaman Rincian Pesanan. Jika pesanan tiba melewati tanggal Garansi Tiba (waktu pengiriman yang tertera), maka Pembeli akan mendapatkan Voucher kompensasi yang dapat diklaim maks. 3 hari setelah status pesanan berubah menjadi Pesanan Selesai, baik secara otomatis oleh sistem ataupun secara manual oleh Pembeli dengan memilih tombol Pesanan Selesai pada halaman Pesanan Saya. Pelajari lebih lanjut mengenai Syarat & Ketentuan Garansi Tepat Waktu. Cara mengetahui tanggal Garansi Tiba sebelum checkout: Cek halaman deskripsi produkCek halaman checkout Cara mengetahui tanggal Garansi Tiba setelah checkout:Cek halaman rincian pesanan Cara mengetahui status Garansi Tepat Waktu setelah pesanan dikirim:Cek halaman pesanan saya Cara klaim Voucher jika pesanan melewati tanggal Garansi Tiba:Pada halaman Rincian Pesanan, pilih Klaim > setelah Voucher berhasil diklaim, pilih Pakai. Anda dapat menggunakan Voucher tersebut untuk membeli produk sesuai Syarat & Ketentuan yang berlaku.  ⚠️CatatanVoucher akan muncul dan dapat diklaim sejak pk. 03:00 WIB setelah pesanan melewati tanggal Garansi Tiba.Batas waktu klaim Voucher dari tanggal Garansi Tiba hingga status pesanan berubah menjadi Pesanan Selesai adalah 3 hari untuk produk Non-Shopee Mall dan produk Shopee Mall.Masa berlaku Voucher setelah diklaim adalah 2 hari. Voucher yang diklaim akan tersimpan di halaman Voucher Saya.Apakah artikel ini berguna?YaTidak"
[Pengiriman] Apakah saya bisa mengubah alamat pengiriman pada pesanan yang sudah dibuat?,"[Pengiriman] Apakah saya bisa mengubah alamat pengiriman pada pesanan yang sudah dibuat?Anda hanya dapat mengubah alamat pengiriman setelah Checkout jika Anda memenuhi Syarat & Ketentuan berikut:Penjual belum mengatur pengiriman paket Anda.Anda belum melakukan pembayaran atau pembayaran yang dilakukan belum berhasil.Anda belum pernah mengajukan perubahan alamat di pesanan. Anda hanya bisa mengubah alamat pengiriman satu kali saja untuk setiap pesanan.Perubahan alamat tidak mengubah biaya ongkir jadi lebih besar.Jasa kirim mampu menjangkau alamat pengiriman yang baru.Alamat pengiriman yang baru memiliki titik geo-location (khusus jasa kirim Grab dan Gojek).Tidak menggunakan jasa kirim yang sedang mengadakan promosi di lokasi pesanan tersebut. Jika Anda memenuhi semua Syarat & Ketentuan di atas, Anda bisa mengubah alamat pengiriman. Pilih Saya > pilih Dikemas > pilih pesanan yang ingin Anda ubah alamat pengirimannya > pilih Ubah pada bagian Alamat Pengiriman > plih alamat > pilih Konfirmasi.  ⚠️CatatanJika alamat yang Anda tuju belum tersimpan di sistem Shopee, silakan pilih Tambah alamat baru pada halaman Pilih Alamat.Anda tidak dapat mengubah alamat pengiriman atau tipe layanan pengiriman setelah pesanan Anda dikirim oleh Penjual. Jika Anda ingin mengubah alamat pengiriman atau tipe layanan pengiriman setelah pesanan dikirim, silakan hubungi Penjual melalui fitur Chat di aplikasi Shopee.Apakah artikel ini berguna?YaTidakArtikel Terkait[Jasa Kirim] Apa itu Jasa Kirim yang Didukung Shopee & Tidak Didukung Shopee?"
[Pelacakan Pesanan] Di mana saya melihat status pesanan?,"[Pelacakan Pesanan] Di mana saya melihat status pesanan?Anda dapat mengecek status pesanan Anda melalui Pesanan Saya pada tab Saya di aplikasi Shopee.  Semua pesanan Anda akan dikategorikan sesuai status pesanannya:Belum Bayar - semua pesanan yang belum dibayar.Dikemas - semua pesanan yang sudah dibayar namun belum dikirim oleh Penjual.Dikirim - semua pesanan yang sudah dikirim oleh Penjual.Selesai - semua pesanan yang sudah terkirim.Dibatalkan - semua pesanan yang sudah dibatalkan.Pengembalian - semua pesanan yang sudah dilakukan pengembalian barang/dana. ⚠️ CatatanPesanan yang dikirim dengan jasa kirim yang didukung Shopee akan memiliki nomor resi dan dapat dilacak dengan mudah melalui aplikasi Shopee.Jika pesanan Anda tidak memiliki nomor resi, Anda dapat menghubungi Penjual untuk mengecek status pengiriman pesanan Anda.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Bagaimana cara mengetahui estimasi waktu pengiriman pesanan?[Pelacakan Pesanan] Bagaimana cara menghubungi jasa kirim yang didukung Shopee untuk melacak pesanan?"
[FAQ] Tentang Jasa Kirim di Shopee,"[FAQ] Tentang Jasa Kirim di Shopee1) Bagaimana cara Shopee menghitung biaya pengiriman?Shopee menghitung biaya pengiriman berdasarkan berat dan dimensi paket yang diatur oleh Penjual, serta tarif dari jasa pengiriman. 2) Apakah produk dari Penjual yang berbeda dalam checkout yang sama akan dikirimkan dengan metode pengiriman yang sama?Tidak, ketika Anda membeli dari Penjual yang berbeda dalam checkout yang sama, produk akan dikirim berdasarkan opsi pengiriman yang ditawarkan oleh masing-masing Penjual. Misalnya, jika Anda membeli Item A dan B dari Penjual X dan Item C dari Penjual Y dalam satu checkout yang sama, maka:Barang A dan B akan dikirim dengan metode pengiriman Penjual X.Item C akan dikirim dengan metode pengiriman Penjual Y. ⚠️️CatatanBiaya pengiriman juga akan dikenakan secara terpisah untuk produk dari Penjual yang berbeda. 3) Di mana saya dapat menemukan informasi pengiriman untuk pesanan saya?Untuk melihat informasi pengiriman pesanan Anda, pilih Saya > Dikirim > Rincian Pesanan > Lihat semua pembaruan pengiriman.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pelacakan Pesanan] Di mana saya melihat status pesanan?[Ongkos Kirim] Apa itu ongkos kirim dan bagaimana cara memeriksa ongkos kirim untuk pesanan saya?"
[Jasa Kirim] Apa itu Jasa Kirim Kargo?,"[Jasa Kirim] Apa itu Jasa Kirim Kargo?Jasa kirim Kargo adalah layanan pengiriman yang mendukung pengiriman dalam jumlah besar, baik secara kriteria berat maupun ukuran paket, dengan menggunakan armada truk melalui darat & laut dengan harga yang kompetitif untuk pengiriman ke seluruh Indonesia. Layanan pengiriman Kargo melayani pengiriman mulai dari 3kg dan biaya pengiriman akan terhitung dari berat paket 5kg, sedangkan biaya pengiriman untuk berat paket mulai 6kg akan dihitung per kg.  Jasa kirim Kargo memiliki opsi pengiriman pick up dan antar ke counter dengan maksimal berat paket hingga sebesar 600 kg. Jasa kirim Kargo yang tersedia adalah Anteraja Kargo, J&T Cargo, JNE Trucking (JTR), Sentral Cargo, dan SiCepat Gokil.  Anda dapat menghubungi pihak jasa kirim pada link berikut.Apakah artikel ini berguna?YaTidak"
[Kirim Instant] Bagaimana jika saya belum menerima paket yang dikirim dengan Kirim Instant?,"[Kirim Instant] Bagaimana jika saya belum menerima paket yang dikirim dengan Kirim Instant?Jika Anda belum menerima paket yang dikirim dengan Kirim Instant karena terjadi kendala seperti berikut:Status pengiriman selesai namun paket belum diterima.Paket diterima dalam keadaan rusak.Paket dinyatakan hilang. Anda dapat menghubungi Mitra Pengemudi melalui aplikasi. Jika Mitra Pengemudi tetap tidak bisa dihubungi, silakan hubungi Customer Service Shopee melalui Live Chat di aplikasi Shopee.  ⚠️Catatan Batas waktu pelaporan paket tidak diterima/paket rusak/kendala lainnya adalah maks. 7 (tujuh) hari kalender setelah pesanan berstatus terkirim.Pastikan Anda memiliki bukti untuk melapor agar dapat ditindaklanjuti oleh Tim Shopee.Apakah artikel ini berguna?YaTidak"
[Kirim Instant] Bagaimana cara membatalkan pengiriman paket Kirim Instant?,"[Kirim Instant] Bagaimana cara membatalkan pengiriman paket Kirim Instant?Anda dapat membatalkan pengiriman paket Kirim Instant melalui aplikasi jika paket belum diambil oleh Mitra Pengemudi Shopee. Jika paket sudah terlanjur diambil oleh Mitra Pengemudi Shopee, maka Anda dapat langsung menghubungi Mitra Pengemudi Shopee untuk mengantarkan balik paket kepada Anda. Anda mungkin akan dikenakan biaya ekstra (persetujuan di luar aplikasi) jika Mitra Pengemudi Shopee bersedia untuk mengembalikan paket. ⚠️CatatanKirim Instant adalah jasa kirim barang/paket secara cepat dan aman yang dikirim oleh Mitra Pengemudi Shopee. Layanan Kirim Instant dapat digunakan oleh semua Pengguna aplikasi Shopee di area jangkauan tertentu.Apakah artikel ini berguna?YaTidak"
[Kirim Instant] Bagaimana cara membuat pesanan Kirim Instant?,"[Kirim Instant] Bagaimana cara membuat pesanan Kirim Instant?Untuk membuat pesanan Kirim Instant, silakan ikuti langkah-langkah berikut: Pilih Kirim Instant > pilih rincian pengirim & penerima > isi detail pengambilan barang > pilih Lanjut > Isi detail Penerima barang > pilih Lanjut ke Rincian Barang > pilih Kategori Paket & Berat Paket > pilih Asuransi > pilih Checkout > pilih Pilihan Pembayaran > pilih Metode Pembayaran > pilih Konfirmasi > pilih Pesan Sekarang.Apakah artikel ini berguna?YaTidakArtikel Terkait[Pengiriman] Mengenai Layanan Pengiriman"
[Kirim Instant] Apa itu layanan Kirim Instant?,"[Kirim Instant] Apa itu layanan Kirim Instant?Kirim Instant adalah jasa pengiriman barang/paket antar Pengguna secara cepat dan aman yang dikirim oleh Mitra Pengemudi KJN. Layanan Kirim Instant dapat dipesan oleh semua Pengguna aplikasi Shopee. Paket yang dikirim melalui Kirim Instant terjamin aman dan terlindungi oleh asuransi sampai dengan Rp20 juta (berlaku untuk kategori barang tertentu). Berikut adalah detail mengenai layanan Kirim Instant:  Waktu LayananPengiriman barang/paket antar Pengguna: 24 jamArea LayananArea Layanan SPX InstantJarak PengirimanMaks. 40 kmUkuran PaketMaks. 50x50x80cm (panjang x lebar x tinggi)Berat PaketMaks. 20kgKategori PaketSemua kategori, kecuali kategori paket yang dilarangOpsi PembayaranShopeePay dan COD (Bayar di Tempat) ⚠️Catatan ShopeePay adalah layanan dompet digital yang ditawarkan oleh Shopee. Ketahui lebih lanjut tentang ShopeePay. COD (Bayar di Tempat) adalah metode pembayaran yang dilakukan secara langsung di tempat setelah pesanan dari kurir diterima oleh Pembeli. Ketahui lebih lanjut tentang pembayaran COD (Bayar di Tempat).Apakah artikel ini berguna?YaTidak"
[Kirim Instant] Bagaimana cara mendapatkan nilai penggantian pengiriman untuk pesanan yang rusak/hilang?,"[Kirim Instant] Bagaimana cara mendapatkan nilai penggantian pengiriman untuk pesanan yang rusak/hilang?Anda dapat mengajukan nilai penggantian Kirim Instant melalui Customer Service dengan menyiapkan dokumen pendukung berikut:  Paling lambat 1 (satu) hari kalender setelah pesanan Anda rusak dan/atau hilang. Setiap pesanan yang menggunakan Kirim Instant sudah mendapatkan nilai penggantian s/d Rp2.000.000 per pengiriman pesanan, kecuali untuk barang-barang tertentu seperti sertifikat atau dokumen yang ditentukan lebih lanjut sesuai dengan kebijakan kami. Kami akan memberikan nilai penggantian sesuai dengan nilai faktur, atau harga pasar jika faktur tidak tersedia.  Namun, jika Anda memilih untuk membeli dan menggunakan tambahan Asuransi Aneka Proteksi sebagai Premium Plan yang disediakan oleh PT Pialang Asuransi Neksus dan PT Asuransi Umum SeaInsure, maka Anda dapat mengajukan klaim asuransi hingga Rp20.000.000 sesuai dengan Syarat dan Ketentuan Asuransi Aneka Proteksi.  Pengajuan nilai penggantian tidak berlaku dan akan ditolak jika:Pengajuan diajukan 1 (satu) hari kalender setelah barang diantar oleh Mitra Pengemudi KJN ke Pembeli.Barang yang dikirim termasuk dalam kategori paket yang dilarang.Ukuran dan berat barang melebihi aturan Kirim Instant. ⚠️CatatanUntuk pembelian produk dari marketplace Shopee, Anda dapat melihat kebijakan penggantian klaim dan perlindungan dari jasa kirim jika mengalami kendala produk rusak/hilang dalam pengiriman.Apakah artikel ini berguna?YaTidakArtikel Terkait[Kirim Instant] Bagaimana cara membuat pesanan Kirim Instant?[Kirim Instant] Bagaimana cara membatalkan pengiriman paket Kirim Instant?"
[FAQ] Kirim Instant,[FAQ] Kirim InstantBerikut adalah beberapa pertanyaan umum mengenai Kirim Instant: Pengiriman Secara Umum[Kirim Instant] Apa itu layanan Kirim Instant?[Kirim Instant] Bagaimana cara membuat pesanan Kirim Instant?[Kirim Instant] Bagaimana cara membatalkan pengiriman paket Kirim Instant?[Kirim Instant] Bagaimana cara mendapatkan nilai penggantian pengiriman untuk pesanan yang rusak/hilang?[Kirim Instant] Siapa yang menanggung biaya parkir atas pengiriman dengan Kirim Instant?[Kirim Instant] Bagaimana cara memberikan tip untuk Mitra Pengemudi Shopee?[Kirim Instant] Bagaimana jika saya belum menerima paket yang dikirim dengan Kirim Instant?[Kirim Instant] Apa ketentuan paket yang dapat dikirim menggunakan Kirim Instant?Apakah artikel ini berguna?YaTidak
[Jasa Kirim] Apa itu Jasa Kirim Reguler?,"[Jasa Kirim] Apa itu Jasa Kirim Reguler?Jasa kirim Reguler adalah layanan pengiriman dengan tarif yang dihitung per kilogram dan waktu pengiriman yang lebih cepat dibandingkan dengan layanan pengiriman lainnya seperti Ekonomi atau Kargo untuk pengiriman ke seluruh Indonesia. Jasa kirim Reguler memiliki opsi pengiriman pick up dan antar ke counter dengan maksimal berat paket sebesar 50 kg. Jasa kirim Reguler yang tersedia adalah Anteraja Reguler, ID Express, JNE Reguler, Ninja Xpress, PosAja!, SiCepat REG, dan SPX Standard. Anda dapat menghubungi pihak jasa kirim pada link berikut. Apakah artikel ini berguna?YaTidak"
